descripcion,fehcaLimite,estado
Horror,11/12/2022,PENDIENTE
Drama|Romance,10/15/2022,COMPLETADA
Drama|Horror|Thriller,5/5/2023,ENPROCESO
Comedy,1/6/2023,PENDIENTE
Horror|Thriller,8/14/2022,ENPROCESO
Crime,9/12/2022,COMPLETADA
Drama,12/6/2022,ENPROCESO
Comedy,1/30/2023,PENDIENTE
Drama,4/19/2023,PENDIENTE
Crime|Horror,8/11/2022,ENPROCESO
Documentary,9/8/2022,ENPROCESO
Drama,2/7/2023,PENDIENTE
Crime|Drama|Thriller,10/2/2022,COMPLETADA
Drama|Mystery|Thriller,9/23/2022,ENPROCESO
Drama|Romance,4/3/2023,ENPROCESO
Documentary,10/30/2022,COMPLETADA
Adventure|Comedy|Drama,10/9/2022,ENPROCESO
Drama|Romance,8/13/2022,ENPROCESO
Action|Adventure|Comedy|Western,9/16/2022,COMPLETADA
Drama,8/21/2022,ENPROCESO
Drama,3/3/2023,COMPLETADA
Drama|Romance,8/6/2022,ENPROCESO
Drama,4/10/2023,PENDIENTE
Mystery|Thriller,10/16/2022,PENDIENTE
Comedy|Crime|Mystery|Thriller,2/3/2023,PENDIENTE
Comedy,4/29/2023,PENDIENTE
Drama,7/27/2023,PENDIENTE
Action|Drama|War,3/2/2023,COMPLETADA
Drama|Mystery|Thriller,6/28/2023,COMPLETADA
Crime|Drama|Romance,4/18/2023,PENDIENTE
Crime|Drama,11/20/2022,ENPROCESO
Drama|Romance,11/7/2022,PENDIENTE
Action|Crime|Drama,6/20/2023,COMPLETADA
Adventure|Drama,12/12/2022,PENDIENTE
Documentary,5/3/2023,PENDIENTE
Drama,4/13/2023,COMPLETADA
Comedy,9/18/2022,PENDIENTE
Drama|Romance,2/27/2023,COMPLETADA
Romance,8/5/2022,ENPROCESO
Comedy,12/24/2022,COMPLETADA
Comedy,5/31/2023,PENDIENTE
Documentary,8/29/2022,ENPROCESO
Drama,7/13/2023,PENDIENTE
Comedy|Drama|Musical|Romance,7/2/2023,ENPROCESO
Drama,7/25/2023,PENDIENTE
Drama|Mystery|Thriller,3/25/2023,PENDIENTE
Action|Drama|Thriller,7/31/2023,COMPLETADA
Action|Adventure|Animation|Children|Fantasy,3/25/2023,ENPROCESO
Children|Comedy|Sci-Fi,4/17/2023,COMPLETADA
Action|Adventure|Crime|Thriller,8/14/2022,PENDIENTE
